property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Simply Studio (No Kitchen) Apartment at 16th Floor West Vista By Travelio,1.0,NEW UNIT,Apartment,Studio,1,Full Furnished,30 sqm,New,Cengkareng,2.0,4590000,IDR,2025-01-16,1,16,2025,1,monthly
Elegant and Strategic 2BR at The Wave Kuningan Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,60 sqm,5.0,Epicentrum,3.0,11000000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Nice 1BR Apartment Pejaten Park Residence By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,41 sqm,4.9,Pejaten,2.0,7800000,IDR,2025-01-16,1,16,2025,1,monthly
Cool and Warm 2BR at Pancoran Riverside Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,33 sqm,New,Pancoran,3.0,3900000,IDR,2025-01-16,1,16,2025,1,monthly
Restful and Well Designed Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,3121000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Penjernihan,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,21 sqm,0,Tanah Abang,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Comfy Studio West Vista Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,34 sqm,5.0,Cengkareng,2.0,4700000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Kuningan,1.0,Favourite,Hotel,Studio,1,Full Furnished,21 sqm,0,Kuningan,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Cozy 2BR at La Hub City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,33 sqm,5.0,Lenteng Agung,4.0,5840000,IDR,2025-01-16,1,16,2025,1,monthly
1BR Unfurnished with AC at Belmont Residence Puri Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,32 sqm,0,Kembangan,0.0,2750000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,2,1,Unfurnished,44 sqm,0,Cakung,0.0,2000000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Relaxing 1BR Apartment at Puri Orchard By Travelio,1.0,Favourite,Apartment,1,1,Full Furnished,35 sqm,5.0,Cengkareng,2.0,4200000,IDR,2025-01-16,1,16,2025,1,monthly
Patal Residence,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,12 sqm,0,Kebayoran Lama,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
2BR Unfurnished With AC at Green Park View Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Unfurnished,33 sqm,0,Daan Mogot,0.0,2990000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Living 1BR at Tifolia Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,45 sqm,5.0,Pulo Gadung,2.0,4871000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy 2BR at Green Palace Kalibata Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,35 sqm,4.9,Kalibata,4.0,4800000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Comfort 2BR at Pancoran Riverside Apartment By Travelio,1.0,Favourite,Apartment,2,1,Full Furnished,35 sqm,5.0,Pancoran,3.0,4490000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Sudirman,1.0,Favourite,Hotel,Studio,1,Full Furnished,21 sqm,0,Sudirman,0.0,5000000,IDR,2025-01-16,1,16,2025,1,monthly
Good Homey and Clean Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,3240000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Nice 3BR at Puri Orchard Apartment By Travelio,1.0,tidak ada promo,Apartment,3,2,Full Furnished,80 sqm,5.0,Cengkareng,5.0,8890000,IDR,2025-01-16,1,16,2025,1,monthly
Homey Penthouse 3BR with Extra Room Kemang Village Apartment By Travelio,1.0,tidak ada promo,Apartment,3,2,Full Furnished,170 sqm,New,Kemang,8.0,29460650,IDR,2025-01-16,1,16,2025,1,monthly
Tifolia Studio Apartment with Double Bed near LRT Station By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,26 sqm,4.9,Pulo Gadung,2.0,3820000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive at Kebon Jeruk,1.0,Favourite,Hotel,Studio,1,Full Furnished,27 sqm,0,Kebon Jeruk,0.0,5000000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort 3BR Unfurnished with AC at Grand Palace Kemayoran Apartment By Travelio,1.0,GOOD DEAL,Apartment,3,1,Unfurnished,91 sqm,0,Kemayoran,0.0,5800000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy 1BR Apartment H Residence near MT Haryono By Travelio,1.0,GOOD DEAL,Apartment,1,1,Full Furnished,46 sqm,5.0,MT Haryono,2.0,6450000,IDR,2025-01-16,1,16,2025,1,monthly
Deluxe Room at Studio 7 @ Puri,1.0,New,Hotel,Studio,1,Full Furnished,19 sqm,0,Kembangan,0.0,5110000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy 2BR at Empyreal The Epicentrum Kuningan Apartment By Travelio,1.0,Up To 1JT,Apartment,2,2,Full Furnished,86 sqm,5.0,Epicentrum,3.0,13540000,IDR,2025-01-16,1,16,2025,1,monthly
Comfortable and Homey 2BR Apartment at Royal Olive Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,56 sqm,5.0,Pejaten,4.0,8590000,IDR,2025-01-16,1,16,2025,1,monthly
Simply Studio Unfurnished at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,1,1,Unfurnished,28 sqm,0,Cakung,0.0,1750000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Comfort 1BR at Gold Coast Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,29 sqm,5.0,Pantai Indah Kapuk,2.0,8085000,IDR,2025-01-16,1,16,2025,1,monthly
Comfortable Studio Apartment at Kebagusan City By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,25 sqm,4.9,Kebagusan,2.0,3296000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive Urooms at Panglima Polim,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,19 sqm,0,Mampang Prapatan,0.0,5250000,IDR,2025-01-16,1,16,2025,1,monthly
1BR Unfurnished at 22nd Floor Sentraland Cengkareng Apartment By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,33 sqm,0,Cengkareng,0.0,2318000,IDR,2025-01-16,1,16,2025,1,monthly
New Furnished Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,21 sqm,4.9,PIK 2,2.0,2790000,IDR,2025-01-16,1,16,2025,1,monthly
